timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
0,83300.0,28.2,0.0,0,flight,0.0
51,83300.0,28.2,0.0,0,flight,0.05
103,83300.0,28.2,0.0,0,flight,0.1
155,83300.0,28.2,0.0,0,flight,0.16
207,83300.0,28.2,0.0,0,flight,0.21
259,83300.0,28.2,0.0,0,flight,0.26
311,83300.0,28.2,0.0,0,flight,0.31
363,83300.0,28.2,0.0,0,flight,0.36
415,83300.0,28.2,0.0,0,flight,0.42
467,83300.0,28.2,0.0,0,flight,0.47
519,83300.0,28.2,0.0,0,flight,0.52
571,83300.0,28.2,0.0,0,flight,0.57
623,83300.0,28.2,0.0,0,flight,0.62
675,83300.0,28.2,0.0,0,flight,0.68
727,83300.0,28.2,0.0,0,flight,0.73
779,83300.0,28.2,0.0,0,flight,0.78
831,83300.0,28.2,0.0,0,flight,0.83
883,83300.0,28.2,0.0,0,flight,0.88
935,83300.0,28.2,0.0,0,flight,0.94
987,83300.0,28.2,0.0,0,flight,0.99
1039,83300.0,28.2,0.0,0,flight,1.04
1091,83300.0,28.2,0.0,0,flight,1.09
1143,83300.0,28.2,0.0,0,flight,1.14
1194,83300.0,28.2,0.0,0,flight,1.19
1246,83300.0,28.2,0.0,0,flight,1.25
1298,83300.0,28.2,0.0,0,flight,1.3
1350,83300.0,28.2,0.0,0,flight,1.35
1402,83300.0,28.2,0.0,0,flight,1.4
1454,83300.0,28.2,0.0,0,flight,1.45
1506,83300.0,28.2,0.0,0,flight,1.51
1558,83300.0,28.2,0.0,0,flight,1.56
1610,83300.0,28.2,0.0,0,flight,1.61
1662,83300.0,28.2,0.0,0,flight,1.66
1714,83300.0,28.2,0.0,0,flight,1.71
1766,83300.0,28.2,0.0,0,flight,1.77
1818,83300.0,28.2,0.0,0,flight,1.82
1870,83300.0,28.2,0.0,0,flight,1.87
1922,83300.0,28.2,0.0,0,flight,1.92
1974,83300.0,28.2,0.0,0,flight,1.97
2026,83300.0,28.2,0.0,0,flight,2.03
2078,83300.0,28.2,0.0,0,flight,2.08
2130,83300.0,28.2,0.0,0,flight,2.13
2182,83300.0,28.2,0.0,0,flight,2.18
2234,83300.0,28.2,0.0,0,flight,2.23
2286,83300.0,28.2,0.0,0,flight,2.29
2337,83300.0,28.2,0.0,0,flight,2.34
2389,83300.0,28.2,0.0,0,flight,2.39
2441,83300.0,28.2,0.0,0,flight,2.44
2493,83295.15,28.18,0.4,0,flight,2.49
2545,83284.53,28.12,1.29,0,flight,2.55
2597,83274.16,28.07,2.15,0,flight,2.6
2649,83264.05,28.02,3.0,0,flight,2.65
2701,83254.21,27.97,3.82,0,flight,2.7
2753,83244.62,27.92,4.62,0,flight,2.75
2805,83235.29,27.88,5.39,0,flight,2.81
2857,83226.22,27.83,6.15,0,flight,2.86
2909,83217.41,27.79,6.88,0,flight,2.91
2961,83208.86,27.74,7.6,0,flight,2.96
